CustomerID,BirthDate,SSN,AccountID,AccountOpened,AccountType
74,1997-01-25,565-15-5007,66.0,2070-07-18,cd
75,1955-10-23,300-72-1347,60.0,1999-03-01,savings
76,1984-06-16,663-25-0227,16.0,2005-10-12,checking
77,2016-12-11,573-22-3048,56.0,2071-02-05,checking
78,1960-08-22,626-14-0088,23.0,1977-09-28,savings
79,1974-06-06,379-31-9131,24.0,2041-03-30,checking
80,2011-06-20,320-76-0925,4.0,2085-04-03,cd
81,1991-08-26,348-10-0475,49.0,2060-07-25,checking
82,1977-05-06,084-65-8926,87.0,1991-12-22,savings
83,1999-11-07,553-97-2823,30.0,2006-02-27,cd
84,1991-05-19,000-23-7728,54.0,2023-12-26,checking
85,1984-10-26,526-78-0563,25.0,1994-03-07,cd
86,1995-05-28,265-68-7624,20.0,1998-07-02,checking
87,1953-12-18,101-11-2263,97.0,1993-01-23,checking
88,1964-03-09,753-55-8615,57.0,2014-07-12,savings
89,1978-12-21,206-35-9565,23.0,2056-02-02,checking
90,1980-03-26,581-27-0842,27.0,2056-05-03,savings
91,1977-10-12,797-30-0305,29.0,2005-09-28,checking
92,1964-04-05,772-57-6376,33.0,2030-01-17,cd
93,1966-11-30,870-98-3540,53.0,2004-06-07,checking
94,1991-01-07,885-32-0631,51.0,2040-07-19,cd
95,1963-04-26,805-25-6000,86.0,1990-01-28,savings
96,2011-10-12,925-59-8428,7.0,2034-03-17,checking
97,1999-10-07,166-38-4548,9.0,2020-05-17,cd
98,1998-12-02,847-70-0249,54.0,2000-10-23,checking
,,,,,
